Exchange ID,ticker,Name,Market Cap,Country,IPO Year,Sector,Industry
1,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,13860698988,,2013,Consumer Services,Real Estate Investment Trusts
1,AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,,,,,
1,AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,,,,
1,AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,,,,
1,AMK,AssetMark Financial Holdings Inc. Common Stock,1851266261,United States,2019,Finance,Finance/Investors Services
1,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,5258399251,United States,,Health Care,Assisted Living Services
1,AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,61668440000,Mexico,,Public Utilities,Telecommunications Equipment
1,AMP,Ameriprise Financial Inc. Common Stock,33321906401,United States,,Finance,Investment Managers
1,AMPI,Advanced Merger Partners Inc. Class A Common Stock,351468750,,2021,,
1,AMPS,Altus Power Inc.,431922750,,2021,,
1,AMPY,Amplify Energy Corp. Common Stock,118252242,United States,2016,Energy,Oil & Gas Production
1,AMR,Alpha Metallurgical Resources Inc. Common Stock,922230203,United States,2018,Energy,Coal Mining
1,AMRC,Ameresco Inc. Class A Common Stock,4200033612,United States,2010,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction
1,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,603460274,,2018,Health Care,Biotechnology: Pharmaceutical Preparations
1,AMT,American Tower Corporation (REIT) Common Stock,1.24132E+11,United States,,Finance,Trusts Except Educational Religious and Charitable
1,AMWL,American Well Corporation Class A Common Stock,1622144547,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
1,AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,62219920000,Mexico,,Public Utilities,Telecommunications Equipment
1,AN,AutoNation Inc. Common Stock,7908487836,United States,,Consumer Services,Other Specialty Stores
